guest_id,decision_time,offer_name,discount_band,recommended_channel,eim_usd,rationale,risk_flags,send_by,snapshot_id
0T0z7etk,2025-09-25 20:25:03.0735150,Family Meal,5,Email Channel,0.44,"Guest 0T0z7etk receives Family Meal at 5 percent discount. Incremental value is projected positive with EIM 0.44, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
0T0z7etk,2025-09-25 20:25:03.0735150,Family Meal,5,Email Channel,0.44,"Guest 0T0z7etk receives Family Meal at 5 percent discount. Incremental value is projected positive with EIM 0.44, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
2p17fr4C,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,1.69,"Guest 2p17fr4C receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 1.69, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
2p17fr4C,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,1.69,"Guest 2p17fr4C receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 1.69, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
2qGFq562,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,0.98,"Guest 2qGFq562 receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 0.98, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
2qGFq562,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,0.98,"Guest 2qGFq562 receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 0.98, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
3QHtDP9b,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,1.03,"Guest 3QHtDP9b receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 1.03, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
3QHtDP9b,2025-09-25 20:25:03.0735150,Value Deal,5,Email Channel,1.03,"Guest 3QHtDP9b receives Value Deal at 5 percent discount. Incremental value is projected positive with EIM 1.03, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
41l76c1z,2025-09-25 20:25:03.0735150,Family Meal,5,Email Channel,0.18,"Guest 41l76c1z receives Family Meal at 5 percent discount. Incremental value is projected positive with EIM 0.18, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
41l76c1z,2025-09-25 20:25:03.0735150,Family Meal,5,Email Channel,0.18,"Guest 41l76c1z receives Family Meal at 5 percent discount. Incremental value is projected positive with EIM 0.18, driven by modeled uplift and expected ticket. Top drivers unavailable for this row. Offer passes margin floor and discount cap guardrails.",ok,2025-09-26 00:25:03.0735150,snap_20250905
